,Items,Antecedent,Consequent,Support,Confidence,Lift
915,"{'Not Discussed', 'supervised', '-', 'image', 'CNN'}","{'-', 'image', 'CNN'}","{'Not Discussed', 'supervised'}",0.10843373493975904,0.9,1.3581818181818182
741,"{'Not Discussed', 'Remote_sensing', 'image', 'CNN'}","{'Not Discussed', 'Remote_sensing'}","{'image', 'CNN'}",0.10843373493975904,0.9,2.4096774193548387
337,"{'Remote_sensing', 'supervised', 'CNN'}","{'Remote_sensing', 'CNN'}",{'supervised'},0.10843373493975904,0.9,0.9576923076923077
625,"{'Not Discussed', '-', 'image', 'CNN'}","{'-', 'image', 'CNN'}",{'Not Discussed'},0.10843373493975904,0.9,1.245
926,"{'Not Discussed', 'supervised', '-', 'image', 'CNN'}","{'supervised', '-', 'image', 'CNN'}",{'Not Discussed'},0.10843373493975904,0.9,1.245
804,"{'Remote_sensing', 'supervised', 'image', 'CNN'}","{'Remote_sensing', 'image', 'CNN'}",{'supervised'},0.10843373493975904,0.9,0.9576923076923077
773,"{'Not Discussed', 'supervised', 'Web database', 'CNN'}","{'Web database', 'supervised'}","{'Not Discussed', 'CNN'}",0.10843373493975904,0.9,1.7785714285714287
771,"{'Not Discussed', 'supervised', 'Web database', 'CNN'}","{'Not Discussed', 'Web database'}","{'supervised', 'CNN'}",0.10843373493975904,0.9,1.3339285714285716
864,"{'Not Discussed', 'supervised', 'Disaster Related Information Filtering', 'Twitter'}","{'Not Discussed', 'Disaster Related Information Filtering', 'Twitter'}",{'supervised'},0.10843373493975904,0.9,0.9576923076923077
304,"{'Not Discussed', 'Web database', 'CNN'}","{'Not Discussed', 'Web database'}",{'CNN'},0.10843373493975904,0.9,1.2879310344827586
746,"{'Not Discussed', 'Remote_sensing', 'image', 'CNN'}","{'Remote_sensing', 'image', 'CNN'}",{'Not Discussed'},0.10843373493975904,0.9,1.245
879,"{'Not Discussed', 'multimodal', 'supervised', 'Twitter'}","{'Not Discussed', 'multimodal', 'Twitter'}",{'supervised'},0.10843373493975904,0.9,0.9576923076923077
540,"{'Not Discussed', 'supervised', 'Web database'}","{'Not Discussed', 'Web database'}",{'supervised'},0.10843373493975904,0.9,0.9576923076923077
747,"{'Not Discussed', 'Remote_sensing', 'image', 'CNN'}","{'Not Discussed', 'Remote_sensing', 'image'}",{'CNN'},0.10843373493975904,0.9,1.2879310344827586
626,"{'Not Discussed', '-', 'image', 'CNN'}","{'Not Discussed', '-', 'image'}",{'CNN'},0.10843373493975904,0.9,1.2879310344827586
449,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised'}","{'Not Discussed', 'Disaster Damage Assessment'}",{'supervised'},0.20481927710843373,0.8947368421052632,0.9520917678812415
611,"{'supervised', 'Twitter', 'text'}","{'Twitter', 'text'}",{'supervised'},0.20481927710843373,0.8947368421052632,0.9520917678812415
30,"{'supervised', '-'}",{'-'},{'supervised'},0.20481927710843373,0.8947368421052632,0.9520917678812415
717,"{'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}","{'Disaster Damage Assessment', 'supervised', 'image'}",{'CNN'},0.1927710843373494,0.888888888888889,1.2720306513409962
786,"{'Not Discussed', 'supervised', 'image', 'CNN'}","{'Not Discussed', 'image'}","{'supervised', 'CNN'}",0.27710843373493976,0.8846153846153846,1.3111263736263736
519,"{'Not Discussed', 'supervised', 'Twitter'}","{'Not Discussed', 'Twitter'}",{'supervised'},0.27710843373493976,0.8846153846153846,0.9413214990138067
576,"{'Not Discussed', 'supervised', 'text'}","{'Not Discussed', 'text'}",{'supervised'},0.18072289156626506,0.8823529411764706,0.9389140271493213
702,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment', 'supervised'}",{'CNN'},0.18072289156626506,0.8823529411764706,1.2626774847870181
684,"{'Not Discussed', 'Disaster Damage Assessment', 'image', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment', 'CNN'}",{'image'},0.1686746987951807,0.8749999999999999,1.9628378378378377
951,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment', 'image'}","{'supervised', 'CNN'}",0.1566265060240964,0.8666666666666667,1.2845238095238096
956,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'CNN'}",{'image'},0.1566265060240964,0.8666666666666667,1.9441441441441443
232,"{'Not Discussed', 'supervised', '-'}","{'Not Discussed', '-'}",{'supervised'},0.1566265060240964,0.8666666666666667,0.9222222222222223
849,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'image'}","{'Not Discussed', 'Disaster Damage Assessment', 'image'}",{'supervised'},0.1566265060240964,0.8666666666666667,0.9222222222222223
175,"{'Twitter', 'text'}",{'text'},{'Twitter'},0.2289156626506024,0.8636363636363635,1.7920454545454543
895,"{'Not Discussed', 'supervised', 'Twitter', 'text'}","{'Not Discussed', 'Twitter', 'text'}",{'supervised'},0.14457831325301204,0.8571428571428572,0.9120879120879122
402,"{'supervised', 'image', 'CNN'}","{'supervised', 'image'}",{'CNN'},0.3614457831325301,0.8571428571428571,1.2266009852216748
612,"{'supervised', 'Twitter', 'text'}","{'supervised', 'text'}",{'Twitter'},0.20481927710843373,0.85,1.76375
255,"{'Disaster Damage Assessment', 'image', 'CNN'}","{'Disaster Damage Assessment', 'image'}",{'CNN'},0.20481927710843373,0.85,1.2163793103448275
582,"{'Remote_sensing', 'supervised', 'image'}","{'Remote_sensing', 'image'}",{'supervised'},0.13253012048192772,0.8461538461538461,0.9003944773175542
579,"{'Remote_sensing', 'supervised', 'image'}",{'Remote_sensing'},"{'supervised', 'image'}",0.13253012048192772,0.8461538461538461,2.0065934065934066
641,"{'Not Discussed', 'supervised', '-', 'CNN'}","{'Not Discussed', 'supervised', '-'}",{'CNN'},0.13253012048192772,0.8461538461538461,1.2108753315649867
204,"{'Not Discussed', '-', 'CNN'}","{'-', 'CNN'}",{'Not Discussed'},0.13253012048192772,0.8461538461538461,1.1705128205128206
640,"{'Not Discussed', 'supervised', '-', 'CNN'}","{'supervised', '-', 'CNN'}",{'Not Discussed'},0.13253012048192772,0.8461538461538461,1.1705128205128206
156,"{'Remote_sensing', 'supervised'}",{'Remote_sensing'},{'supervised'},0.13253012048192772,0.8461538461538461,0.9003944773175542
633,"{'Not Discussed', 'supervised', '-', 'CNN'}","{'-', 'CNN'}","{'Not Discussed', 'supervised'}",0.13253012048192772,0.8461538461538461,1.2769230769230768
248,"{'Not Discussed', 'Disaster Damage Assessment', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment'}",{'CNN'},0.1927710843373494,0.8421052631578948,1.2050816696914701
64,"{'image', 'CNN'}",{'image'},{'CNN'},0.37349397590361444,0.8378378378378378,1.1989748369058713
212,"{'-', 'image', 'CNN'}","{'-', 'image'}",{'CNN'},0.12048192771084337,0.8333333333333334,1.1925287356321839
671,"{'Not Discussed', 'supervised', '-', 'image'}","{'supervised', '-', 'image'}",{'Not Discussed'},0.12048192771084337,0.8333333333333334,1.152777777777778
664,"{'Not Discussed', 'supervised', '-', 'image'}","{'-', 'image'}","{'Not Discussed', 'supervised'}",0.12048192771084337,0.8333333333333334,1.2575757575757576
262,"{'Disaster Damage Assessment', 'supervised', 'CNN'}","{'Disaster Damage Assessment', 'supervised'}",{'CNN'},0.24096385542168675,0.8333333333333334,1.1925287356321839
649,"{'supervised', '-', 'image', 'CNN'}","{'-', 'image'}","{'supervised', 'CNN'}",0.12048192771084337,0.8333333333333334,1.2351190476190477
656,"{'supervised', '-', 'image', 'CNN'}","{'supervised', '-', 'image'}",{'CNN'},0.12048192771084337,0.8333333333333334,1.1925287356321839
226,"{'Not Discussed', '-', 'image'}","{'-', 'image'}",{'Not Discussed'},0.12048192771084337,0.8333333333333334,1.152777777777778
527,"{'Not Discussed', 'Twitter', 'text'}","{'Not Discussed', 'text'}",{'Twitter'},0.1686746987951807,0.8235294117647058,1.7088235294117646
685,"{'Not Discussed', 'Disaster Damage Assessment', 'image', 'CNN'}","{'Disaster Damage Assessment', 'image', 'CNN'}",{'Not Discussed'},0.1686746987951807,0.8235294117647058,1.1392156862745098
807,"{'Remote_sensing', 'supervised', 'image', 'CNN'}","{'Remote_sensing', 'supervised', 'image'}",{'CNN'},0.10843373493975904,0.8181818181818181,1.170846394984326
624,"{'Not Discussed', '-', 'image', 'CNN'}","{'Not Discussed', '-', 'CNN'}",{'image'},0.10843373493975904,0.8181818181818181,1.8353808353808352
339,"{'Remote_sensing', 'supervised', 'CNN'}","{'Remote_sensing', 'supervised'}",{'CNN'},0.10843373493975904,0.8181818181818181,1.170846394984326
925,"{'Not Discussed', 'supervised', '-', 'image', 'CNN'}","{'Not Discussed', 'supervised', '-', 'CNN'}",{'image'},0.10843373493975904,0.8181818181818181,1.8353808353808352
377,"{'Web database', 'supervised', 'CNN'}",{'Web database'},"{'supervised', 'CNN'}",0.10843373493975904,0.8181818181818181,1.2126623376623376
538,"{'Not Discussed', 'supervised', 'Web database'}",{'Web database'},"{'Not Discussed', 'supervised'}",0.10843373493975904,0.8181818181818181,1.2347107438016527
914,"{'Not Discussed', 'supervised', '-', 'image', 'CNN'}","{'Not Discussed', '-', 'CNN'}","{'supervised', 'image'}",0.10843373493975904,0.8181818181818181,1.94025974025974
766,"{'Not Discussed', 'supervised', 'Web database', 'CNN'}",{'Web database'},"{'Not Discussed', 'supervised', 'CNN'}",0.10843373493975904,0.8181818181818181,1.6977272727272725
732,"{'supervised', 'Disaster Related Information Classification', 'Twitter', 'CNN'}","{'supervised', 'Disaster Related Information Classification', 'Twitter'}",{'CNN'},0.10843373493975904,0.8181818181818181,1.170846394984326
802,"{'Remote_sensing', 'supervised', 'image', 'CNN'}","{'Remote_sensing', 'supervised'}","{'image', 'CNN'}",0.10843373493975904,0.8181818181818181,2.190615835777126
55,"{'Web database', 'CNN'}",{'Web database'},{'CNN'},0.10843373493975904,0.8181818181818181,1.170846394984326
301,"{'Not Discussed', 'Web database', 'CNN'}",{'Web database'},"{'Not Discussed', 'CNN'}",0.10843373493975904,0.8181818181818181,1.6168831168831168
957,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}","{'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}",{'Not Discussed'},0.1566265060240964,0.8125,1.1239583333333334
945,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment', 'CNN'}","{'supervised', 'image'}",0.1566265060240964,0.8125,1.926785714285714
398,"{'supervised', 'image', 'CNN'}",{'image'},"{'supervised', 'CNN'}",0.3614457831325301,0.8108108108108109,1.201737451737452
253,"{'Disaster Damage Assessment', 'image', 'CNN'}","{'Disaster Damage Assessment', 'CNN'}",{'image'},0.20481927710843373,0.8095238095238095,1.815958815958816
34,"{'Disaster Damage Assessment', 'CNN'}",{'Disaster Damage Assessment'},{'CNN'},0.25301204819277107,0.8076923076923076,1.1558355437665782
711,"{'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}","{'Disaster Damage Assessment', 'image'}","{'supervised', 'CNN'}",0.1927710843373494,0.8,1.185714285714286
715,"{'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}","{'Disaster Damage Assessment', 'supervised', 'CNN'}",{'image'},0.1927710843373494,0.8,1.7945945945945947
896,"{'Not Discussed', 'supervised', 'Twitter', 'text'}","{'Not Discussed', 'supervised', 'text'}",{'Twitter'},0.14457831325301204,0.7999999999999999,1.66
